"","species","mean_wal_score"
"61","Acacia_decora",0.0366657398826073
"62","Acacia_decurrens",0.0730469604374411
"63","Acacia_dictyophleba",0.0302727272727272
"64","Acacia_difficilis",0.0205931603773585
"65","Acacia_dimidiata",0.0204720149253731
"66","Acacia_doratoxylon",0.0351031390134529
"67","Acacia_drummondii",0.053
"68","Acacia_dunnii",0.0357611940298507
"69","Acacia_elata",0.0491770833333331
"70","Acacia_elongata",0.036
"71","Acacia_eremaea",0.053
"72","Acacia_ericifolia",0.053
"73","Acacia_erinacea",0.0524
"74","Acacia_estrophiolata",0.0197616974972797
"75","Acacia_excelsa",0.0394342541436464
"76","Acacia_extensa",0.053
"77","Acacia_falcata",0.037058583106267
"78","Acacia_falciformis",0.0314787954830613
"79","Acacia_filicifolia",0.0360833953834698
"80","Acacia_filifolia",0.053
"81","Acacia_fimbriata",0.0387321688500728
"82","Acacia_flexifolia",0.0301738035264483
"83","Acacia_floribunda",0.0319097439100562
"84","Acacia_fulva",0.036
"85","Acacia_genistifolia",0.0199617516629714
"86","Acacia_georginae",0.0246356736242884
"87","Acacia_gittinsii",0.043
"88","Acacia_gladiiformis",0.036
"89","Acacia_glaucocarpa",0.043
"90","Acacia_glaucoptera",0.053
"91","Acacia_gonocarpa",0.0229173913043478
"92","Acacia_granitica",0.0382941176470588
"93","Acacia_hakeoides",0.024504872563718
"94","Acacia_harpophylla",0.0402298424467099
"95","Acacia_harveyi",0.053
"96","Acacia_hastulata",0.053
"97","Acacia_havilandiorum",0.029876993166287
"98","Acacia_hemsleyi",0.0360327868852459
"99","Acacia_heterophylla",0.0403870967741935
"100","Acacia_hilliana",0.0314931034482759
"101","Acacia_hippuroides",0.053
"102","Acacia_holosericea",0.0305106172839505
"103","Acacia_horridula",0.053
"104","Acacia_huegelii",0.053
"105","Acacia_implexa",0.0297877668782456
"106","Acacia_irrorata",0.0363845448992059
"107","Acacia_iteaphylla",0.0195680473372781
"108","Acacia_ixiophylla",0.0388329764453961
"109","Acacia_jonesii",0.036
"110","Acacia_julifera",0.043
"111","Acacia_juncifolia",0.041
"112","Acacia_kempeana",0.0228457169900616
"113","Acacia_koa",0.032
"114","Acacia_lachnophylla",0.053
"115","Acacia_latescens",0.02
"116","Acacia_latifolia",0.026203488372093
"117","Acacia_leiocalyx",0.0401000415110005
"118","Acacia_leptocarpa",0.0404939759036144
"119","Acacia_leucoclada",0.0372926136363636
"120","Acacia_ligulata",0.0189050811573748
"121","Acacia_linarioides",0.02
"122","Acacia_linearifolia",0.036
"123","Acacia_lineata",0.0310113636363636
"124","Acacia_linifolia",0.036
"125","Acacia_loderi",0.0321286549707602
"126","Acacia_longifolia",0.0405780803369977
"127","Acacia_longispicata",0.043
"128","Acacia_longissima",0.0368098510882016
"129","Acacia_lunata",0.036
"130","Acacia_lysiphloia",0.0241950439648281
"131","Acacia_maconochieana",0.0321224489795918
"132","Acacia_mangium",0.241517819706499
"133","Acacia_mearnsii",0.0569315506012074
"134","Acacia_melanoxylon",0.0353842275110929
"135","Acacia_melleodora",0.0274223300970874
"136","Acacia_microbotrya",0.053
"137","Acacia_mimula",0.02
"138","Acacia_monticola",0.0341448900388098
"139","Acacia_mooreana",0.053
"140","Acacia_mucronata",0.0167747712672767
"141","Acacia_multisiliqua",0.0278648648648648
"142","Acacia_mutabilis",0.0498977272727273
"143","Acacia_myrtifolia",0.0234486156148663
"144","Acacia_nanodealbata",0.016
"145","Acacia_neriifolia",0.0388996350364963
"146","Acacia_nervosa",0.053
"147","Acacia_neurocarpa",0.0322163461538462
"148","Acacia_nigricans",0.053
"149","Acacia_notabilis",0.0142759276879163
"150","Acacia_olgana",0.018045871559633
"151","Acacia_oncinocarpa",0.02
"152","Acacia_oshanesii",0.0401893939393939
"153","Acacia_oswaldii",0.0228680584551151
"154","Acacia_oxycedrus",0.0203386027536972
"155","Acacia_papyrocarpa",0.0170573543015726
"156","Acacia_paradoxa",0.0186620464737057
"157","Acacia_parvipinnula",0.036
"158","Acacia_patagiata",0.053
"159","Acacia_pellita",0.02
"160","Acacia_pendula",0.0359384395132427
"161","Acacia_pentadenia",0.053
"162","Acacia_platycarpa",0.0283833464257659
"163","Acacia_plectocarpa",0.0273588456712672
"164","Acacia_podalyriifolia",0.0473149090909091
"165","Acacia_polybotrya",0.0374375
"166","Acacia_polystachya",0.043
"167","Acacia_pravissima",0.0222397072278133
"168","Acacia_prominens",0.036
"169","Acacia_pubescens",0.036
"170","Acacia_pulchella",0.053
"171","Acacia_pycnantha",0.0191459345643015
"172","Acacia_pyrifolia",0.053
"173","Acacia_redolens",0.053
"174","Acacia_restiacea",0.053
"175","Acacia_retinodes",0.056002997002997
"176","Acacia_rigens",0.0229381399317406
"177","Acacia_rossei",0.053
"178","Acacia_rostellifera",0.053
"179","Acacia_rothii",0.043
"180","Acacia_rubida",0.0314427812650894
"181","Acacia_salicina",0.0317639639639638
"182","Acacia_saligna",0.11116298239041
"183","Acacia_sclerosperma",0.0530258215962441
"184","Acacia_shirleyi",0.0295558739255015
"185","Acacia_silvestris",0.0249655172413794
"186","Acacia_simsii",0.0699773584905659
"187","Acacia_sparsiflora",0.043
"188","Acacia_spathulifolia",0.053
"189","Acacia_spectabilis",0.0373303867403315
"190","Acacia_spinescens",0.0143219264892269
"191","Acacia_spinosissima",0.053
"192","Acacia_squamata",0.053
"193","Acacia_stenophylla",0.0300055846422337
"194","Acacia_stenoptera",0.053
"195","Acacia_stipuligera",0.0279559902200489
"196","Acacia_stricta",0.0206211739287001
"197","Acacia_suaveolens",0.0305222154595253
"198","Acacia_subcaerulea",0.053
"199","Acacia_sulcata",0.053
"200","Acacia_tenuissima",0.0301362196409714
"201","Acacia_tephrina",0.0420659898477157
"202","Acacia_terminalis",0.0293251944012444
"203","Acacia_tetragonocarpa",0.053
"204","Acacia_tetragonophylla",0.0278258478460127
"205","Acacia_thomsonii",0.0311754385964912
"206","Acacia_torulosa",0.0280889830508475
"207","Acacia_trachycarpa",0.053
"208","Acacia_trachyphloia",0.036
"209","Acacia_translucens",0.0348582089552239
"210","Acacia_trineura",0.0256581818181818
"211","Acacia_triptera",0.0350407876230661
"212","Acacia_tumida",0.0400681520314548
"213","Acacia_ulicifolia",0.0344344095404303
"214","Acacia_umbellata",0.0312072727272727
"215","Acacia_uncifera",0.043
"216","Acacia_urophylla",0.053
"217","Acacia_verniciflua",0.0209193811074919
"218","Acacia_verticillata",0.0164215292903818
"219","Acacia_vestita",0.0360265151515151
"220","Acacia_victoriae",0.0213077526987245
"221","Acacia_wilhelmiana",0.0217628865979382
"222","Acacia_willdenowiana",0.053
"223","Acacia_yirrkallensis",0.02
"224","Acmispon_americanus",0.0384295415959255
"225","Acmispon_brachycarpus",0.0386381197681905
"226","Acmispon_maritimus",0.0467683946488294
"227","Acmispon_parviflorus",0.0332403189066059
"228","Acmispon_subpinnatus",0.10448
"229","Acmispon_wrangelianus",0.04284
"230","Acosmium_lentiscifolium",0.140379310344828
"231","Acrocarpus_fraxinifolius",0.341893203883495
"232","Adenanthera_intermedia",0.72
"233","Adenocarpus_complicatus",0.127084085315833
"234","Adenocarpus_decorticans",0.155344871794872
"235","Adenocarpus_foliolosus",0.06
"236","Adenodolichos_punctatus",0.285320754716981
"237","Adesmia_bicolor",NA
"238","Adesmia_latifolia",0.101586956521739
"239","Adesmia_muricata",0.0719
"240","Adesmia_punctata",0.0893870967741936
"241","Aeschynomene_abyssinica",0.197896551724138
"242","Aeschynomene_afraspera",0.0611489361702128
"243","Aeschynomene_americana",0.203973305084746
"244","Aeschynomene_aspera",0.0707938144329897
"245","Aeschynomene_bracteosa",0.259125
"246","Aeschynomene_brevifolia",0.0700206896551725
"247","Aeschynomene_ciliata",0.271160305343511
"248","Aeschynomene_crassicaulis",0.0942307692307692
"249","Aeschynomene_cristata",0.150686746987952
"250","Aeschynomene_denticulata",0.0860166666666667
"251","Aeschynomene_elaphroxylon",0.159382113821138
"252","Aeschynomene_evenia",0.162032258064516
"253","Aeschynomene_filosa",0.113386363636364
"254","Aeschynomene_fluitans",0.1475625
"255","Aeschynomene_fluminensis",0.155861111111111
