Species count,Family,Genus,Species,Common Name,Plant Type,Geographic Location,Nectary Location,Ecological Study,Reference,Notes,genus species,,,,,,,,,,,,,,,,
1,Asparagaceae,Sansevieria,abyssinica,,,,floral bracts,,Tanowitz and Koehler 1968,,Sansevieria abyssinica,,,,,,,,,,,,,,,,
1,Asparagaceae,Sansevieria,aethiopica,,,,floral bracts,,Tanowitz and Koehler 1968,,Sansevieria aethiopica,,,,,,,,,,,,,,,,
1,Asparagaceae,Sansevieria,aubrytiana,,,,floral bracts,,Tanowitz and Koehler 1968,,Sansevieria aubrytiana,,,,,,,,,,,,,,,,
1,Asparagaceae,Sansevieria,canaliculata,,,,floral bracts,,Tanowitz and Koehler 1968,,Sansevieria canaliculata,,,,,,,,,,,,,,,,
1,Asparagaceae,Sansevieria,cf. gracilis,,,,floral bracts,,Tanowitz and Koehler 1968,,Sansevieria cf. gracilis,,,,,,,,,,,,,,,,
1,Asparagaceae,Sansevieria,cf. stuckyi,,,,floral bracts,,Tanowitz and Koehler 1968,,Sansevieria cf. stuckyi,,,,,,,,,,,,,,,,
1,Asparagaceae,Sansevieria,conspicua,,,,floral bracts,,Tanowitz and Koehler 1968,,Sansevieria conspicua,,,,,,,,,,,,,,,,
1,Asparagaceae,Sansevieria,cynlindrica,,herb,,floral bracts,,Zimmermann 1932; Elias 1983,,Sansevieria cynlindrica,,,,,,,,,,,,,,,,
1,Asparagaceae,Sansevieria,desertii,,,,floral bracts,,Tanowitz and Koehler 1968,,Sansevieria desertii,,,,,,,,,,,,,,,,
1,Asparagaceae,Sansevieria,dooneri,,,,floral bracts,,Tanowitz and Koehler 1968,,Sansevieria dooneri,,,,,,,,,,,,,,,,
1,Asparagaceae,Sansevieria,ehrenbergii,,herb,,floral bracts,,Zimmermann 1932; Elias 1983,,Sansevieria ehrenbergii,,,,,,,,,,,,,,,,
1,Asparagaceae,Sansevieria,humbertiana,,,,floral bracts,,Tanowitz and Koehler 1968,,Sansevieria humbertiana,,,,,,,,,,,,,,,,
1,Asparagaceae,Sansevieria,phillipsiae,,,,flora bracts,,Tanowitz and Koehler 1968,,Sansevieria phillipsiae,,,,,,,,,,,,,,,,
1,Asparagaceae,Sansevieria,pinguicula,,,,floral bracts,,Tanowitz and Koehler 1968,,Sansevieria pinguicula,,,,,,,,,,,,,,,,
1,Asparagaceae,Sansevieria,scabrifolia,,,,floral bracts,,Tanowitz and Koehler 1968,,Sansevieria scabrifolia,,,,,,,,,,,,,,,,
1,Asparagaceae,Sansevieria,singularis,,,,floral bracts,,Tanowitz and Koehler 1968,,Sansevieria singularis,,,,,,,,,,,,,,,,
1,Asparagaceae,Sansevieria,sulcata,,,,floral bracts,,Tanowitz and Koehler 1968,,Sansevieria sulcata,,,,,,,,,,,,,,,,
1,Asparagaceae,Sansevieria,thyrsiflora,,herb,,floral bracts,,Zimmermann 1932; Elias 1983,,Sansevieria thyrsiflora,,,,,,,,,,,,,,,,
1,Asparagaceae,Sansevieria,zeylandica,,herb,,floral bracts,,Frey-Wyssling and Hausermann 1960; Baker Opler and Baker 1978,syntrispina?,Sansevieria zeylandica,,,,,,,,,,,,,,,,
1,Asparagaceae,Yucca,filamentosa,,,,,,Keeler 1985,,Yucca filamentosa,,,,,,,,,,,,,,,,
1,Asparagaceae,Yucca,glauca,small soapweed,woody herb,,developing fruit,"Boucher M.S. thesis, U Nebraska Omaha, 1980s",Boucher; Keeler 1979,,Yucca glauca,,,,,,,,,,,,,,,,
1,Asteraceae,Bidens,pillosa,,herb,Mexico,stem; nodes; bracts,,"Díaz-Castelazo et al. 2004, Díaz-Castelazo et al. 2013;  Hernandez Otero and Manzano 2013",,Bidens pillosa,,,,,,,,,,,,,,,,
1,Asteraceae,Calycadenia,sp.,,,,,,Zimmermann 1932,,Calycadenia sp.,,,,,,,,,,,,,,,,
1,Asteraceae,Centaurea,alpina,,herb,,,,Zimmermann 1932,,Centaurea alpina,,,,,,,,,,,,,,,,
1,Asteraceae,Centaurea,angustifolia var. fuscormarginata,,,,,,Springensguth 1935,,Centaurea angustifolia var. fuscormarginata,,,,,,,,,,,,,,,,
1,Asteraceae,Centaurea,badensis,,,,,,Zimmermann 1932;,,Centaurea badensis,,,,,,,,,,,,,,,,
